eval_type,stratum,n,spearman_lr_npmi,spearman_lr_g2
Human,all (k11 >= 1),2468,0.9926106766744015,0.4634420002571451
Human,"k11 in [1,2]",1449,0.999058615239063,0.5037225880373941
Human,"k11 in [3,9]",723,0.993819875619119,0.6050407069130351
Human,k11 >= 10,296,0.9807906111956334,0.594223105334511
LaaJ,all (k11 >= 1),913,0.9903952273268833,0.5241515234540256
LaaJ,"k11 in [1,2]",508,0.9989073225637567,0.35012991715858555
LaaJ,"k11 in [3,9]",308,0.9891721297160757,0.7191341811768631
LaaJ,k11 >= 10,97,0.9850653043700148,0.8574283920346406
