normalized,total_count,num_variants,variants_with_counts
claude_3.5,33,4,Claude-3.5 (26); Claude 3.5 (5); CLAUDE-3.5 (1); Claude3.5 (1)
vicuna_7b_v_1.5,33,3,Vicuna-7B-v1.5 (26); Vicuna-7b-v1.5 (5); Vicuna-7B-V1.5 (2)
llama_2_chat_13b,32,13,LLaMA2-Chat-13B (6); LLaMA-2-Chat-13B (5); Llama-2-Chat-13B (5); LLaMA2-Chat 13B (3); Llama-2-chat-13B (3); Llama2-chat-13B (3); LLAMA-2-CHAT-13B (1); LLaMA-2-Chat (13B) (1); LLaMA-2-chat-13B (1); Llama 2-Chat (13B) (1); Llama-2 Chat 13B (1); Llama-2-Chat (13B) (1); Llama-2-Chat 13B (1)
bert_base_uncased,32,5,BERT-base-uncased (27); bert-base-uncased (2); BERT Base-uncased (1); BERT-BASE-UNCASED (1); BERT-Base-Uncased (1)
claude_3.7_sonnet,32,4,Claude-3.7-Sonnet (21); Claude 3.7 Sonnet (7); Claude-3.7-sonnet (3); CLAUDE-3.7-SONNET (1)
gpt_j_6b,32,4,GPT-J-6B (24); GPT-J (6B) (5); GPT-J 6B (2); GPT-j-6B (1)
qwq_32b,32,4,QwQ-32B (25); QwQ 32B (4); QWQ-32B (2); QwQ (32B) (1)
codellama_7b,32,3,CodeLlama-7B (25); CodeLLaMA-7B (6); CODELLAMA-7B (1)
bloomz,32,2,BLOOMZ (28); Bloomz (4)
lexrank,32,2,LexRank (26); LEXRANK (6)
gemini_2.5_pro,31,5,Gemini-2.5-Pro (18); Gemini 2.5 Pro (9); Gemini-2.5-pro (2); GEMINI-2.5-PRO (1); Gemini-2.5 Pro (1)
chatglm_3_6b,31,4,ChatGLM3-6B (27); ChatGLM3-6b (2); ChatGLM-3-6B (1); chatglm3-6b (1)
gpt_neo,31,3,GPT-Neo (26); GPT-NEO (3); GPT-neo (2)
claude_3.5_haiku,30,5,Claude-3.5-Haiku (20); Claude 3.5 Haiku (5); Claude-3.5-haiku (3); Claude-3.5 Haiku (1); Claude3.5-Haiku (1)
mistral_7b_v_0.3,30,4,Mistral-7B-v0.3 (27); MISTRAL-7B-V0.3 (1); Mistral 7B v0.3 (1); Mistral-7b-v0.3 (1)
mistral_large,30,3,Mistral-Large (21); Mistral Large (6); Mistral-large (3)
pointer_generator,30,3,Pointer-Generator (19); Pointer Generator (9); Pointer-generator (2)
qwen_2,30,3,Qwen2 (18); Qwen-2 (10); Qwen 2 (2)
electra,30,2,ELECTRA (28); Electra (2)
phi_2,30,2,Phi-2 (29); phi-2 (1)
qwen_2.5_vl_7b,29,5,Qwen2.5-VL-7B (20); Qwen-2.5-VL-7B (4); Qwen2.5-VL 7B (3); Qwen2.5-VL (7B) (1); Qwen2.5-VL-7b (1)
qwen_3_8b,29,4,Qwen3-8B (22); Qwen-3-8B (4); QWEN3-8B (2); QWEN3 8B (1)
text_davinci_002,29,3,text-davinci-002 (23); GPT-3 (text-davinci-002) (5); InstructGPT-3 (text-davinci-002) (1)
llama_3.2,28,5,Llama-3.2 (15); Llama 3.2 (7); LLaMA-3.2 (4); LLaMA 3.2 (1); Llama3.2 (1)
bertsum,28,4,BERTSum (12); BERTSUM (11); BertSum (3); BertSUM (2)
codellama,28,4,CodeLlama (20); CodeLLaMA (6); CodeLLAMA (1); CodeLLaMa (1)
llava_1.5_13b,27,5,LLaVA-1.5-13B (21); LLaVA-1.5 (13B) (2); LLaVA-1.5-13b (2); LLaVA1.5-13B (1); Llava1.5-13B (1)
claude_3,27,3,Claude-3 (20); Claude 3 (6); Claude3 (1)
fid,27,3,FiD (21); Fusion-in-Decoder (FiD) (4); FID (2)
phi_3,27,2,Phi-3 (25); Phi3 (2)
llama_3.1_405b,26,10,Llama-3.1-405B (13); Llama3.1-405B (3); LLaMA-3.1-405B (2); Llama-3.1 405B (2); LLaMA 3.1-405B (1); LLaMA3.1-405B (1); Llama 3.1 405B (1); Llama 3.1 405b (1); Llama 3.1-405B (1); Llama-3.1-405b (1)
qwen_2.5_vl,26,2,Qwen2.5-VL (25); Qwen 2.5 VL (1)
xlm_roberta,26,2,XLM-RoBERTa (24); XLM-Roberta (2)
mt_5_base,25,5,mT5-base (17); mT5-BASE (3); mT5-Base (3); X-GEAR (mT5-base) (1); mT5 Base (1)
qwen_2_72b_instruct,25,4,Qwen2-72B-Instruct (20); Qwen2-72b-Instruct (3); Qwen-2-72B-Instruct (1); Qwen2-72B-instruct (1)
pythia_2.8b,25,3,Pythia-2.8B (21); Pythia 2.8B (2); Pythia-2.8b (2)
gemini_1.5,25,2,Gemini-1.5 (19); Gemini 1.5 (6)
mistral_7b_v_0.1,25,2,Mistral-7B-v0.1 (24); Mistral-7b-v0.1 (1)
mixtral_8x_7b_instruct_v_0.1,25,2,Mixtral-8x7B-Instruct-v0.1 (24); mixtral-8x7b-instruct-v0.1 (1)
llama_30b,24,3,LLaMA-30B (19); Llama-30B (4); LLaMA-30b (1)
mixtral_8x_7b_instruct,24,3,Mixtral-8x7B-Instruct (21); Mixtral 8x7B Instruct (2); Mixtral-8x7B-instruct (1)
opt_2.7b,24,3,OPT-2.7B (18); OPT-2.7b (4); OPT 2.7B (2)
albert,24,2,ALBERT (23); Albert (1)
deepseek_r_1_distill_qwen_7b,24,2,DeepSeek-R1-Distill-Qwen-7B (22); DeepSeek-R1-distill-Qwen-7B (2)
falcon_7b,24,2,Falcon-7B (21); Falcon-7b (3)
llama_3.1_405b_instruct,23,7,Llama-3.1-405B-Instruct (14); Llama3.1-405B-Instruct (3); Llama 3.1 405B Instruct (2); LLAMA-3.1-405B-INSTRUCT (1); Llama-3.1-405B Instruct (1); Llama-3.1-405B-instruct (1); Llama-3.1-405b-Instruct (1)
llama_3.2_1b_instruct,23,7,Llama-3.2-1B-Instruct (12); LLaMA-3.2-1B-Instruct (3); Llama3.2-1B-Instruct (3); LLaMA3.2-1B-Instruct (2); LLaMA 3.2 1B Instruct (1); LLaMA-3.2-1B Instruct (1); LLaMA-3.2-1B-INSTRUCT (1)
glm_4_9b_chat,23,5,GLM-4-9B-Chat (12); GLM4-9B-Chat (8); GLM-4-9B-chat (1); GLM-4-9b-chat (1); glm-4-9b-chat (1)
qwen_2.5_0.5b,23,4,Qwen2.5-0.5B (17); Qwen-2.5-0.5B (3); Qwen2.5 0.5B (2); Qwen 2.5 0.5B (1)
mixtral_8x_22b,23,3,Mixtral-8x22B (16); Mixtral 8x22B (6); MIXTRAL-8X22B (1)
qwen_3_32b,23,3,Qwen3-32B (19); Qwen-3-32B (3); Qwen 3 32B (1)
textrank,23,3,TextRank (21); TEXTRANK (1); Textrank (1)
phi_4,23,2,Phi-4 (22); phi-4 (1)
sentence_bert,23,2,Sentence-BERT (22); sentence-BERT (1)
xlm,23,2,XLM (22); Multilingual Masked Language Model (XLM) (1)
base,22,12,BASE (8); Transformer (base) (3); Base (2); Flan-T5 (base) (1); M2M-100 (base) (1); Make-A-Voice (base) (1); OpenAI Whisper (base) (1); Seq2Edits (Base) (1); Transformer (BASE) (1); Transformer (Base) (1); Transformer APE (base) (1); mT5 (base) (1)
gpt_neo_2.7b,22,4,GPT-Neo-2.7B (18); GPT-Neo 2.7B (2); GPT-Neo (2.7B) (1); GPT-neo-2.7B (1)
o_3_mini,22,3,o3-mini (16); O3-mini (5); o3-Mini (1)
starcoder,22,3,StarCoder (20); STARCODER (1); Starcoder (1)
codet_5,22,2,CodeT5 (21); codeT5 (1)
deepseek,22,2,DeepSeek (21); Deepseek (1)
fasttext,22,2,fastText (14); FastText (8)
o_1,22,2,o1 (20); O1 (2)
t_5_xxl,22,2,T5-XXL (19); T5-xxl (3)
vicuna_13b_v_1.5,21,5,Vicuna-13B-v1.5 (17); Vicuna 13B V1.5 (1); Vicuna-13B-V1.5 (1); Vicuna-13b-v1.5 (1); vicuna-13B-v1.5 (1)
deberta_v_3_large,21,4,DeBERTa-v3-large (12); DeBERTa-V3-Large (4); DeBERTa-V3-large (3); DeBERTa-v3-Large (2)
led,21,4,LED (17); Longformer Encoder-Decoder (LED) (2); Longformer Encoder Decoder (LED) (1); Longformer-Encoder-Decoder (LED) (1)
qwen_max,21,4,Qwen-Max (13); Qwen-max (6); Qwen Max (1); Qwen-MAX (1)
cmlm,21,3,CMLM (19); Conditional Masked Language Model (CMLM) (1); conditional masked language model (CMLM) (1)
gemini_2.5_flash,21,3,Gemini-2.5-Flash (14); Gemini 2.5 Flash (5); Gemini-2.5-flash (2)
blenderbot,21,2,BlenderBot (19); Blenderbot (2)
olmo_7b,20,8,OLMo-7B (9); OLMo 7B (3); OLMO-7B (2); Olmo-7B (2); OLMO (7B) (1); OLMo (7B) (1); OLMo-7b (1); Olmo 7B (1)
llama_2_7b_chat_hf,20,6,Llama-2-7b-chat-hf (13); Llama-2-7B-chat-hf (3); LLaMA-2-7B-chat-hf (1); LLaMA2-7B-chat-hf (1); Llama2-7B-chat-hf (1); llama2-7b-chat-hf (1)
glm_4_9b,20,5,GLM-4-9B (13); GLM4-9B (4); GLM-4 (9B) (1); GLM-4 9B (1); GLM-4-9b (1)
phi_3.5_mini_instruct,20,5,Phi-3.5-mini-instruct (9); Phi-3.5-Mini-Instruct (5); Phi-3.5-mini-Instruct (3); Phi-3.5-mini Instruct (2); Phi3.5-mini-instruct (1)
gpt_4.1_mini,20,4,GPT-4.1-mini (16); GPT-4.1 Mini (2); GPT-4.1 mini (1); GPT-4.1-Mini (1)
qwen_14b,20,4,Qwen-14B (16); Qwen 14B (2); QWen-14b (1); Qwen-14b (1)
glm_4,20,3,GLM-4 (16); GLM4 (3); GLM-API (GLM-4) (1)
pythia_1.4b,20,3,Pythia-1.4B (17); Pythia-1.4b (2); Pythia 1.4B (1)
vicuna_33b,20,3,Vicuna-33B (17); Vicuna (33B) (2); Vicuna-33b (1)
command_r+,20,2,Command R+ (14); Command-R+ (6)
gpt_4_0613,20,2,GPT-4-0613 (17); GPT-4 (gpt-4-0613) (3)
opt_125m,20,2,OPT-125M (18); OPT-125m (2)
mistral_7b_instruct_v_0.1,19,4,Mistral-7B-Instruct-v0.1 (16); Mistral 7B Instruct v0.1 (1); Mistral-7B-instruct-v0.1 (1); mistral-7b-instruct-v0.1 (1)
phi_3_mini,19,4,Phi-3-mini (14); Phi-3-Mini (3); PHI-3-MINI (1); Phi-3 Mini (1)
deepseek_r_1_distill_llama_8b,19,3,DeepSeek-R1-Distill-Llama-8B (17); DeepSeek-R1-Distill-LLaMA-8B (1); DeepSeek-R1-distill-Llama-8B (1)
deepseek_r_1_distill_qwen_32b,19,3,DeepSeek-R1-Distill-Qwen-32B (17); DeepSeek-R1-Distill-Qwen-32b (1); DeepSeek-R1-distill-Qwen-32B (1)
glove,19,3,GloVe (17); Seq2seq (GloVe) (1); Top one similar process (GloVe) (1)
opt_13b,19,3,OPT-13B (17); OPT 13B (1); OPT-13b (1)
tinyllama,19,3,TinyLlama (15); TinyLLaMA (3); TinyLLama (1)
gemma_3_27b,18,6,Gemma-3-27B (10); Gemma 3-27B (2); Gemma-3 27B (2); Gemma3-27B (2); Gemma 3 27B (1); Gemma3-27b (1)
glm_4_plus,18,5,GLM-4-Plus (13); GLM-4-plus (2); GLM-4-PLUS (1); GLM4-Plus (1); GLM4-plus (1)
mt_5_large,18,5,mT5-large (13); mT5-Large (2); MT5-LARGE (1); X-GEAR (mT5-large) (1); mT5-LARGE (1)
gemini_1.0_pro,18,4,Gemini-1.0-Pro (9); Gemini 1.0 Pro (6); Gemini-1.0-pro (2); gemini-1.0-pro (1)
gpt_3.5_turbo_0125,18,4,GPT-3.5-turbo-0125 (11); GPT-3.5-Turbo-0125 (4); gpt-3.5-turbo-0125 (2); ChatGPT (gpt-3.5-turbo-0125) (1)
internvl_2_8b,18,3,InternVL2-8B (15); InternVL2-8b (2); InternVL2 8B (1)
pythia_6.9b,18,3,Pythia-6.9B (15); Pythia 6.9B (2); Pythia-6.9b (1)
t_5_xl,18,3,T5-XL (15); T5-xl (2); T5 XL (1)
baichuan_2_7b,18,2,Baichuan2-7B (16); Baichuan2-7b (2)
internvl_2.5,18,2,InternVL2.5 (13); InternVL-2.5 (5)
openai_o_1,18,2,OpenAI o1 (14); OpenAI-o1 (4)
rag,18,2,RAG (17); Retrieval Augmented Generation (RAG) (1)
gemma_7b_it,17,6,Gemma-7B-IT (6); Gemma-7B-It (4); Gemma-7B-it (3); Gemma-7b-it (2); Gemma 7B IT (1); gemma-7b-it (1)
wav_2vec_2.0,17,6,wav2vec 2.0 (6); wav2vec2.0 (4); Wav2Vec2.0 (3); Wav2vec2.0 (2); Wav2Vec 2.0 (1); Wav2vec 2.0 (1)
deepseek_r_1_distill_llama_70b,17,5,DeepSeek-R1-Distill-Llama-70B (13); DeepSeek R1 Distill Llama 70B (1); DeepSeek-R1-Distill-Llama 70B (1); DeepSeek-R1-Distill-Llama-70b (1); DeepSeek-R1-distill-Llama-70B (1)
code_llama,17,4,Code Llama (12); Code-Llama (3); Code LLaMA (1); Code-LLaMA (1)
minicpm_v_2.6,17,4,MiniCPM-V-2.6 (11); MiniCPM-v2.6 (3); MiniCPM-V2.6 (2); MiniCPM V2.6 (1)
codellama_34b,17,3,CodeLlama-34B (14); CodeLLaMA-34B (2); CodeLlama 34B (1)
gpt_4o_2024_08_06,17,3,GPT-4o-2024-08-06 (15); GPT-4O-2024-08-06 (1); gpt-4o-2024-08-06 (1)
llava_onevision,17,3,LLaVA-OneVision (15); LLaVA OneVision (1); LLaVA-onevision (1)
llava_v_1.5_7b,17,3,LLaVA-v1.5-7B (13); LLaVA-V1.5-7B (3); LLaVA-v1.5-7b (1)
zephyr_7b,17,3,Zephyr-7B (15); Zephyr 7B (1); Zephyr-7b (1)
aya_23_8b,17,2,Aya-23-8B (13); Aya 23 8B (4)
chatglm_3,17,2,ChatGLM3 (16); ChatGLM-3 (1)
cnn,17,2,CNN (16); Style Discriminator (CNN) (1)
opt_350m,17,2,OPT-350M (14); OPT-350m (3)
qwen_vl_chat,17,2,Qwen-VL-Chat (16); Qwen-VL-chat (1)
qwq_32b_preview,17,2,QwQ-32B-Preview (15); QwQ-32B-preview (2)
vae,17,2,VAE (16); Variational Autoencoder (VAE) (1)
gemma_2_27b_it,16,8,Gemma-2-27B-IT (5); Gemma-2-27B-it (5); Gemma-2 27B-IT (1); Gemma-2-27b-IT (1); Gemma-2-27b-It (1); Gemma-2-27b-it (1); Gemma2-27B-it (1); gemma-2-27b-it (1)
baichuan_2_13b,16,4,Baichuan2-13B (13); BaiChuan2-13B (1); Baichuan-2-13B (1); Baichuan2-13b (1)
gpt_3.5_turbo_16k,16,4,GPT-3.5-turbo-16k (9); GPT-3.5-Turbo-16K (3); GPT-3.5-Turbo-16k (3); gpt-3.5-turbo-16k (1)
llava_next_7b,16,4,LLaVA-NeXT-7B (8); LLaVA-Next-7B (4); LLaVA-NeXT-7b (3); LLaVA-NEXT-7B (1)
matchsum,16,3,MatchSum (11); MATCHSUM (4); MatchSUM (1)
meta_llama_3_8b_instruct,16,3,Meta-Llama-3-8B-Instruct (13); Meta-LLaMA-3-8B-Instruct (2); Meta-Llama3-8B-Instruct (1)
byt_5,16,2,ByT5 (15); byT5 (1)
codellama_13b,16,2,CodeLlama-13B (13); CodeLLaMA-13B (3)
contriever,16,2,Contriever (15); CONTRIEVER (1)
falcon_40b,16,2,Falcon-40B (13); Falcon-40b (3)
gemma_2_2b_it,15,5,Gemma-2-2B-IT (7); Gemma-2-2b-it (3); Gemma-2-2B-it (2); Gemma2-2B-it (2); Gemma2-2B-It (1)
gpt_3_davinci,15,5,GPT-3 Davinci (7); GPT-3 davinci (4); GPT-3-davinci (2); GPT-3-DaVinci (1); GPT-3-Davinci (1)
o_4_mini,15,5,o4-mini (9); O4-mini (3); O4 Mini (1); O4-MINI (1); O4-Mini (1)
gpt_3.5_turbo_instruct,15,4,GPT-3.5-turbo-instruct (10); GPT-3.5-Turbo-Instruct (3); GPT-3.5 Turbo-Instruct (1); GPT-3.5-turbo-Instruct (1)
idefics_2_8b,15,4,Idefics2-8B (8); IDEFICS2-8B (5); IDEFICS2-8b (1); idefics2-8b (1)
qwen_2.5_1.5b_instruct,15,3,Qwen2.5-1.5B-Instruct (12); Qwen-2.5-1.5B-Instruct (2); Qwen2.5-1.5B-instruct (1)
wait_k,15,3,Wait-k (8); wait-k (6); WAIT-k (1)
brio,15,2,BRIO (14); Brio (1)
gpt_neo_1.3b,15,2,GPT-Neo-1.3B (12); GPT-Neo 1.3B (3)
phi_1.5,15,2,Phi-1.5 (13); phi-1.5 (2)
qwen_2.5_coder_7b,15,2,Qwen2.5-Coder-7B (14); Qwen2.5-Coder 7B (1)
qwen_2_vl_72b,15,2,Qwen2-VL-72B (14); QWEN2-VL-72B (1)
scibert,15,2,SciBERT (13); SCIBERT (2)
transformer_encoder_decoder,15,2,Transformer encoder-decoder (14); Transformer Encoder-Decoder (1)
vit,15,2,ViT (11); Vision Transformer (ViT) (4)
llama_2_chat_70b,14,8,LLaMA-2-Chat-70B (4); LLaMA2-Chat-70B (4); LLAMA-2-CHAT-70B (1); LLaMA2-chat-70B (1); Llama 2-CHAT (70B) (1); Llama 2-Chat-70b (1); Llama-2-Chat-70B (1); Llama2-chat-70b (1)
qwen_1.5_7b,14,5,Qwen1.5-7B (8); Qwen-1.5-7B (3); Qwen 1.5 (7B) (1); Qwen 1.5 7B (1); Qwen 1.5-7B (1)
qwen_72b,14,5,Qwen-72B (10); QWen-72B (1); QWen-72b (1); Qwen 72B (1); Qwen-72b (1)
code_davinci_002,14,4,code-davinci-002 (9); Codex (code-davinci-002) (3); CODE-DAVINCI-002 (1); GPT-3 (code-davinci-002) (1)
gpt_3.5_turbo_0613,14,4,GPT-3.5-turbo-0613 (8); GPT-3.5-Turbo-0613 (4); ChatGPT (gpt-3.5-turbo-0613) (1); GPT-3.5-TURBO-0613 (1)
gpt_3.5_turbo_1106,14,4,GPT-3.5-Turbo-1106 (6); GPT-3.5-turbo-1106 (6); ChatGPT (gpt-3.5-turbo-1106) (1); gpt-3.5-turbo-1106 (1)
llama_8b,14,4,LLaMA-8B (6); Llama-8B (5); Llama 8B (2); LLaMA 8B (1)
llms,14,4,LLMs (11); Large Language Models (LLMs) (1); Pre-trained Language Models (LLMs) (1); Speech Large Language Models (LLMs) (1)
qwen_1.5_7b_chat,14,4,Qwen1.5-7B-Chat (10); Qwen-1.5-7B-Chat (2); Qwen-1.5-7B-chat (1); Qwen1.5-7B-chat (1)
deepseek_v_2.5,14,3,DeepSeek-V2.5 (11); DeepSeek V2.5 (2); DEEPSEEK-V2.5 (1)
llama_65b,14,3,LLaMA-65B (12); LLaMA 65B (1); LLaMA-65b (1)
pgn,14,3,PGN (12); Pointer-Generator Network (PGN) (1); Pointer-Generator Networks (PGN) (1)
qwen_3,14,3,Qwen-3 (5); Qwen3 (5); Qwen 3 (4)
tinyllama_1.1b,14,3,TinyLlama-1.1B (8); TinyLLaMA-1.1B (5); TinyLlama 1.1B (1)
chatglm_2_6b,14,2,ChatGLM2-6B (13); chatglm2-6b (1)
deepseek_r_1_distill_qwen_1.5b,14,2,DeepSeek-R1-Distill-Qwen-1.5B (13); DeepSeek-R1-distill-Qwen-1.5B (1)
flan_ul_2,14,2,Flan-UL2 (12); FLAN-UL2 (2)
llava_7b,14,2,LLaVA-7B (12); LLaVA-7b (2)
llava_onevision_7b,14,2,LLaVA-OneVision-7B (13); LLaVA-Onevision-7B (1)
olmo_2_7b,13,8,OLMo-2-7B (5); OLMo 2 7B (2); OLMO-2-7B (1); OLMo-2 7B (1); OLMo-2-7b (1); OLMo2-7B (1); Olmo-2-7B (1); Olmo2-7B (1)
falcon_40b_instruct,13,5,Falcon-40b-instruct (5); Falcon-40B-Instruct (3); Falcon-40B-instruct (2); Falcon-40b-Instruct (2); Falcon 40B Instruct (1)
gemma_2_9b_instruct,13,5,Gemma-2-9B-Instruct (6); Gemma2 9B Instruct (3); Gemma 2 9B Instruct (2); Gemma-2-9b-instruct (1); Gemma2-9B-Instruct (1)
gpt_2_base,13,5,GPT-2-base (5); GPT2-base (5); GPT-2 BASE (1); GPT-2 Base (1); GPT2 base (1)
llama_3.3,13,5,Llama-3.3 (6); Llama 3.3 (4); LLaMA-3.3 (1); LLaMA3.3 (1); Llama3.3 (1)
internvl_2.5_8b,13,4,InternVL2.5-8B (8); InternVL-2.5-8B (3); InternVL2.5 8B (1); Internvl2.5-8b (1)
lead_3,13,4,LEAD-3 (5); Lead-3 (4); Lead3 (3); LEAD3 (1)
claude_2.1,13,3,Claude-2.1 (7); Claude 2.1 (5); Claude2.1 (1)
pythia_410m,13,3,Pythia-410M (11); Pythia (410M) (1); Pythia-410m (1)
qwen_7b_chat,13,3,Qwen-7B-Chat (11); Qwen-7B-chat (1); Qwen-7b-chat (1)
aya,13,2,Aya (12); AYA (1)
baichuan_2_13b_chat,13,2,Baichuan2-13B-Chat (12); Baichuan-2-13B-Chat (1)
biobert,13,2,BioBERT (12); BIOBERT (1)
codebert,13,2,CodeBERT (12); codeBERT (1)
labse,13,2,LaBSE (12); LABSE (1)
mplug_owl,13,2,mPLUG-Owl (12); mPlug-OWL (1)
mpt_7b,13,2,MPT-7B (12); MPT 7B (1)
multilingual_bert,13,2,multilingual BERT (10); Multilingual BERT (3)
primera,13,2,PRIMERA (12); Primera (1)
qwen_3_4b,13,2,Qwen3-4B (12); Qwen-3-4B (1)
s_2s,13,2,S2S (12); Sequence-to-Sequence (S2S) (1)
llama_3.1_instruct_8b,12,12,LLaMA 3.1 Instruct 8B (1); LLaMA-3.1 Instruct (8B) (1); LLaMA-3.1-Instruct-8B (1); LLaMA3.1-Instruct-8B (1); Llama 3.1 Instruct (8B) (1); Llama 3.1 Instruct 8B (1); Llama 3.1-INSTRUCT (8B) (1); Llama 3.1-Instruct 8B (1); Llama-3.1-Instruct-8B (1); Llama3.1-Instruct 8B (1); Llama3.1-Instruct-8B (1); Llama3.1-instruct-8B (1)
fairseq,12,7,Fairseq (6); Transformer (fairseq) (1); Transformer base (fairseq) (1); Transformer seq2seq (FairSeq) (1); Transformer-base (Fairseq) (1); fairseq (1); transformer-iwslt (fairseq) (1)
bloomz_7b_1,12,5,BLOOMZ-7B1 (6); BLOOMZ-7b1 (2); Bloomz-7b1 (2); Bloomz-7B1 (1); bloomz-7b1 (1)
falcon_7b_instruct,12,5,Falcon-7B-Instruct (7); Falcon-7B-instruct (2); FALCON-7B-INSTRUCT (1); Falcon 7B Instruct (1); Falcon-7b-instruct (1)
llama_3_3b,12,5,Llama-3-3B (4); Llama3-3B (3); LLaMA-3-3B (2); Llama 3 3B (2); LLaMA3-3B (1)
llama_70b,12,5,Llama-70B (6); LLaMA-70B (3); LLAMA-70B (1); LLaMA-70b (1); Llama 70B (1)
deepseek_chat,12,4,DeepSeek-Chat (8); DeepSeek-chat (2); Deepseek-Chat (1); Deepseek-chat (1)
pixtral_12b,12,4,Pixtral-12B (9); PixTral-12B (1); Pixtral 12B (1); Pixtral-12b (1)
qwen_2.5_coder_7b_instruct,12,4,Qwen2.5-Coder-7B-Instruct (9); Qwen-2.5-Coder-7B-Instruct (1); Qwen2.5-Coder-7B-instruct (1); Qwen2.5-coder-7B-Instruct (1)
zephyr_7b_beta,12,4,Zephyr-7B-beta (6); Zephyr-7B-Beta (4); Zephyr-7b-beta (1); zephyr-7b-beta (1)
mistral_nemo,12,3,Mistral-Nemo (9); Mistral Nemo (2); Mistral-nemo (1)
mt_5_small,12,3,mT5-small (10); mT5-SMALL (1); mT5-Small (1)
phi_3.5_mini,12,3,Phi-3.5-mini (10); Phi-3.5-Mini (1); Phi3.5-Mini (1)
qwen_vl_max,12,3,Qwen-VL-Max (10); Qwen-VL-MAX (1); Qwen-VL-max (1)
chatgpt_3.5,12,2,ChatGPT-3.5 (11); ChatGPT 3.5 (1)
qwen_2_1.5b,12,2,Qwen2-1.5B (11); Qwen-2-1.5B (1)
gemma_3_12b,11,6,Gemma-3-12B (6); Gemma 3 12B (1); Gemma 3 12b (1); Gemma 3-12B (1); Gemma-3 12B (1); Gemma3-12b (1)
whisper_large_v_3,11,6,Whisper-large-v3 (5); Whisper-Large-v3 (2); Whisper Large V3 (1); Whisper large v3 (1); Whisper-Large V3 (1); Whisper-large V3 (1)
bloom_560m,11,5,BLOOM-560M (7); BLOOM (560M) (1); BLOOM 560M (1); BLOOM-560m (1); Bloom-560M (1)
bertsumext,11,4,BERTSUMEXT (4); BertSumEXT (3); BertSumExt (3); BERTSumExt (1)
gemma_3_4b,11,4,Gemma-3-4B (6); Gemma3-4B (3); Gemma 3 4b (1); Gemma 3-4B (1)
mplug_owl_2,11,4,mPLUG-Owl2 (8); mPLUG-Owl-2 (1); mPlug-OWL2 (1); mPlug-Owl2 (1)
phi_3_medium,11,4,Phi-3-medium (7); Phi-3-Medium (2); Phi-3 Medium (1); Phi3-Medium (1)
qwen_1.5,11,4,Qwen1.5 (7); Qwen-1.5 (2); QWEN1.5 (1); Qwen 1.5 (1)
qwen_2.5_vl_72b,11,4,Qwen2.5-VL-72B (8); Qwen 2.5 VL (72B) (1); Qwen-2.5-VL-72B (1); Qwen2.5-VL 72B (1)
mixtral_8x_22b_instruct,11,3,Mixtral-8x22B-Instruct (9); Mixtral 8x22B Instruct (1); Mixtral-8x22b-Instruct (1)
opus_mt,11,3,OPUS-MT (8); Opus-MT (2); OPUS MT (1)
qwen_1.5_72b_chat,11,3,Qwen1.5-72B-Chat (8); Qwen-1.5-72B-Chat (2); Qwen1.5-72B-chat (1)
baichuan_2,11,2,Baichuan2 (9); Baichuan-2 (2)
bard,11,2,Bard (8); BARD (3)
bi_lstm,11,2,Bi-LSTM (9); bi-LSTM (2)
codegen,11,2,CodeGen (10); CODEGEN (1)
command_r,11,2,Command-R (6); Command R (5)
fastspeech_2,11,2,FastSpeech 2 (6); FastSpeech2 (5)
llava_v_1.5,11,2,LLaVA-v1.5 (10); LLaVA-V1.5 (1)
moel,11,2,MoEL (10); MOEL (1)
o_3,11,2,o3 (8); O3 (3)
olmo,11,2,OLMo (10); OLMO (1)
t_0_3b,11,2,T0-3B (10); T0_3B (1)
unifiedqa,11,2,UnifiedQA (10); UNIFIEDQA (1)
yi_34b_chat,11,2,Yi-34B-Chat (9); Yi-34B-chat (2)
2019,10,10,Alaux et al. (2019) (1); Baziotis et al. (2019) (1); Grave et al. (2019) (1); Jawanpuria et al. (2019) (1); Mohiuddin and Joty (2019) (1); Nie et al. (2019) (1); Patra et al. (2019) (1); Puduppully et al. (2019) (1); Zhou and Rush (2019) (1); Zhou et al. (2019) (1)
aya_expanse_8b,10,7,Aya-Expanse-8B (4); AYA EXPANSE 8B (1); Aya Expanse 8B (1); Aya Expanse-8B (1); Aya expanse-8B (1); Aya-Expanse 8B (1); aya-expanse-8b (1)
llama_3_instruct_8b,10,7,LLaMA3-Instruct-8B (4); LLaMA 3 Instruct (8B) (1); LLaMA-3-Instruct-8B (1); LLaMA-3-instruct-8B (1); LLaMA3-Instruct-8b (1); Llama 3 Instruct-8B (1); Llama3-Instruct-8B (1)
pegasus_large,10,6,PEGASUS-large (3); Pegasus-large (3); PEGASUS Large (1); PEGASUS large (1); PEGASUS-LARGE (1); Pegasus-Large (1)
aya_23,10,5,Aya-23 (5); AYA-23 (2); AYA23 (1); Aya 23 (1); Aya23 (1)
xlm_roberta_large,10,5,XLM-RoBERTa-large (6); XLM-RoBERTa Large (1); XLM-RoBERTa large (1); XLM-Roberta large (1); xlm-roberta-large (1)
distilgpt_2,10,4,DistilGPT2 (4); DistilGPT-2 (3); distilgpt2 (2); distilGPT-2 (1)
mistral_nemo_12b,10,4,Mistral-Nemo-12B (5); Mistral Nemo 12B (2); Mistral-NeMo-12B (2); Mistral NeMo 12B (1)
