normalized,total_count,num_variants,variants_with_counts
llama_2,224,8,LLaMA-2 (77); Llama-2 (48); Llama 2 (33); Llama2 (28); LLaMA2 (25); LLaMA 2 (11); LLAMA2 (1); LLaMa 2 (1)
qwen_2.5_7b_instruct,204,6,Qwen2.5-7B-Instruct (168); Qwen-2.5-7B-Instruct (27); Qwen2.5-7B-instruct (5); Qwen 2.5 7B Instruct (2); Qwen-2.5 7B Instruct (1); Qwen-2.5-7b-instruct (1)
t_5_large,193,6,T5-large (131); T5-Large (58); Macaw (T5-large) (1); Prompt-DST (T5-large) (1); T5 Large (1); T5-LARGE (1)
qwen_2.5_7b,192,10,Qwen2.5-7B (120); Qwen-2.5-7B (51); Qwen 2.5 7B (6); Qwen-2.5 7B (4); Qwen 2.5-7B (3); QWEN2.5-7B (2); Qwen2.5 7B (2); Qwen2.5-7b (2); QWEN-2.5-7B (1); Qwen 2.5 (7B) (1)
claude_3.5_sonnet,176,7,Claude-3.5-Sonnet (118); Claude 3.5 Sonnet (35); Claude-3.5-sonnet (10); Claude-3.5 Sonnet (6); Claude3.5-Sonnet (4); Claude 3.5-Sonnet (2); claude-3.5-sonnet (1)
bart_large,164,6,BART-large (117); BART-Large (38); BART Large (6); APE (BART-large) (1); BART-LARGE (1); QAGen (BART-large) (1)
gpt_4_turbo,163,4,GPT-4-Turbo (74); GPT-4 Turbo (47); GPT-4-turbo (39); GPT-4-TURBO (3)
deepseek_v_3,151,5,DeepSeek-V3 (132); DeepSeek V3 (7); DeepSeek-v3 (7); Deepseek-V3 (4); Deepseek-v3 (1)
llama_3,149,6,Llama-3 (51); LLaMA-3 (33); Llama 3 (24); Llama3 (19); LLaMA3 (16); LLaMA 3 (6)
llama_3_70b,145,15,Llama-3-70B (52); Llama3-70B (34); LLaMA-3-70B (23); Llama 3 70B (12); LLaMA3-70B (11); LLaMA-3 70B (2); Llama-3 70B (2); Llama-3-70b (2); LLAMA-3-70B (1); LLAMA3-70B (1); LLaMA 3 70B (1); LLaMA 3-70B (1); LLaMA-3 (70B) (1); LLaMA3-70b (1); LlaMA-3-70B (1)
llama_7b,144,10,LLaMA-7B (115); Llama-7B (18); LLaMA 7B (3); Llama-7b (2); LLAMA-7B (1); LLaMA-7b (1); LLaMa-7B (1); LlaMA-7B (1); Llama 7B (1); Study Assistant (LLaMA-7B) (1)
llama_3.1_70b,143,15,Llama-3.1-70B (65); Llama3.1-70B (19); LLaMA-3.1-70B (18); Llama 3.1 70B (13); LLaMA3.1-70B (8); Llama-3.1-70b (4); LLaMA 3.1 70B (3); Llama-3.1 70B (3); Llama3.1-70b (3); Llama 3.1-70B (2); LLAMA3.1-70B (1); LLaMA 3.1-70B (1); LLaMA-3.1 70B (1); LLaMA3.1-70b (1); Llama3.1 70B (1)
llama,133,4,LLaMA (97); Llama (30); LLaMa (5); LLAMA (1)
llama_2_70b,131,16,Llama-2-70B (35); LLaMA-2-70B (32); Llama2-70B (19); LLaMA2-70B (16); Llama-2-70b (9); Llama 2 70B (4); Llama-2 70B (3); Llama2-70b (3); LLaMA-2 70B (2); LLaMA2-70b (2); LLaMA 2 (70B) (1); LLaMA 2 70B (1); LLaMA-2-70b (1); LLaMa2-70B (1); Llama 2 (70B) (1); Llama 2-70B (1)
llama_2_13b_chat,126,17,LLaMA-2-13B-Chat (22); Llama-2-13B-Chat (16); Llama2-13B-Chat (16); Llama-2-13B-chat (13); Llama-2-13b-chat (12); LLaMA2-13B-Chat (11); Llama2-13B-chat (9); Llama2-13b-chat (8); LLaMA-2-13B-chat (4); LLaMA2-13B-chat (4); LLaMA2-13b-chat (3); Llama 2 13B Chat (3); LLAMA2-13B-CHAT (1); LLaMA-2 13B Chat (1); Llama 2 13b-chat (1); Llama-2-13b-Chat (1); llama2-13B-chat (1)
gemini_1.5_pro,125,7,Gemini-1.5-Pro (71); Gemini 1.5 Pro (33); Gemini-1.5-pro (12); Gemini-1.5 Pro (6); GEMINI-1.5-PRO (1); gemini-1.5-Pro (1); gemini-1.5-pro (1)
deepseek_r_1,119,3,DeepSeek-R1 (103); DeepSeek R1 (12); Deepseek-R1 (4)
roberta_large,116,9,RoBERTa-large (84); RoBERTa-Large (24); RoBERTa LARGE (2); GECToR (RoBERTa-large) (1); RoBERTa Large (1); RoBERTa large (1); RoBERTa-LARGE (1); Roberta-large (1); roberta-large (1)
bert_base,116,3,BERT-base (106); BERT-Base (7); BERT-BASE (3)
pegasus,114,2,PEGASUS (90); Pegasus (24)
bart_base,104,5,BART-base (95); BART-Base (6); APE (BART-base) (1); BART Base (1); BART-BASE (1)
lstm,104,2,LSTM (103); Sequence-to-Sequence with Attention (LSTM) (1)
gpt_2_xl,102,6,GPT-2 XL (38); GPT2-XL (27); GPT-2-XL (26); GPT-2-xl (6); GPT2-xl (4); NORMSAGE mini (GPT-2-XL) (1)
vicuna_7b,101,5,Vicuna-7B (84); Vicuna-7b (10); Vicuna (7B) (3); Vicuna 7B (3); VICUNA-7B (1)
flan_t_5,98,2,Flan-T5 (74); FLAN-T5 (24)
